"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 30 16:22:02 COT 2023","Tue May 30 16:22:03 COT 2023","1160","","Testing API with Reqres","","","","Create a user using POST method (example #2)",""
"passed","Tue May 30 16:21:50 COT 2023","Tue May 30 16:21:51 COT 2023","996","","Basic Testing to latlong.net","","","","Validate that the get latlong service is responding successfully",""
"passed","Tue May 30 16:22:03 COT 2023","Tue May 30 16:22:05 COT 2023","1429","","Testing API with Reqres","","","","Create a user using POST method (example #3)",""
"passed","Tue May 30 16:21:52 COT 2023","Tue May 30 16:21:53 COT 2023","967","","Basic Testing to latlong.net","","","","Submit a comment on latlong.net (example #2)",""
"passed","Tue May 30 16:22:01 COT 2023","Tue May 30 16:22:02 COT 2023","1594","","Testing API with Reqres","","","","Create a user using POST method (example #1)",""
"passed","Tue May 30 16:21:51 COT 2023","Tue May 30 16:21:52 COT 2023","205","","Basic Testing to latlong.net","","","","Validate that the get satellite service is responding successfully",""
"passed","Tue May 30 16:22:00 COT 2023","Tue May 30 16:22:00 COT 2023","288","","Testing API with Reqres","","","","Validate last name for different user IDs (example #1)",""
"passed","Tue May 30 16:21:52 COT 2023","Tue May 30 16:21:52 COT 2023","620","","Basic Testing to latlong.net","","","","Submit a comment on latlong.net (example #1)",""
"passed","Tue May 30 16:22:01 COT 2023","Tue May 30 16:22:01 COT 2023","146","","Testing API with Reqres","","","","Validate last name for different user IDs (example #3)",""
"passed","Tue May 30 16:22:05 COT 2023","Tue May 30 16:22:06 COT 2023","597","","Testing API with Reqres","","","","Create a user using POST method (example #4)",""
"passed","Tue May 30 16:22:00 COT 2023","Tue May 30 16:22:01 COT 2023","150","","Testing API with Reqres","","","","Validate last name for different user IDs (example #2)",""
